! Infineon Technologies  Discrete & RF Semiconductors
! BFP450
! VCE =  1.0 V,  IC =  20 mA
! Common Emitter S-Parameters:                            Nov 2015
# GHz  S  MA  R  50
!  f         S11            S21            S12            S22
! GHz     MAG   ANG      MAG   ANG      MAG   ANG      MAG   ANG
 1.000  0.7432  176.7   5.726   75.2  0.0520   34.8  0.5068 -170.7
 1.020  0.7438  176.2   5.617   74.7  0.0525   34.9  0.5069 -171.4
 1.040  0.7445  175.7   5.509   74.3  0.0530   35.0  0.5071 -172.1
 1.060  0.7452  175.2   5.401   73.8  0.0534   35.2  0.5074 -172.8
 1.080  0.7460  174.7   5.294   73.2  0.0539   35.3  0.5077 -173.5
 1.100  0.7468  174.2   5.187   72.7  0.0544   35.4  0.5081 -174.2
 1.120  0.7473  173.7   5.093   72.3  0.0549   35.5  0.5084 -174.8
 1.140  0.7479  173.2   4.999   71.8  0.0553   35.6  0.5087 -175.5
 1.160  0.7486  172.7   4.906   71.4  0.0558   35.6  0.5090 -176.1
 1.180  0.7493  172.2   4.813   70.9  0.0562   35.7  0.5095 -176.8
 1.200  0.7501  171.7   4.720   70.4  0.0567   35.8  0.5100 -177.4
 1.220  0.7504  171.2   4.643   70.0  0.0572   35.9  0.5102 -178.0
 1.240  0.7508  170.8   4.567   69.6  0.0577   35.9  0.5105 -178.6
 1.260  0.7512  170.3   4.491   69.1  0.0582   36.0  0.5109 -179.1
 1.280  0.7517  169.9   4.415   68.7  0.0587   36.0  0.5113 -179.7
 1.300  0.7522  169.4   4.339   68.2  0.0592   36.1  0.5117  179.7
 1.320  0.7527  169.0   4.272   67.8  0.0597   36.2  0.5121  179.2
 1.340  0.7531  168.5   4.205   67.4  0.0602   36.2  0.5125  178.6
 1.360  0.7537  168.1   4.138   67.0  0.0606   36.3  0.5130  178.1
 1.380  0.7543  167.6   4.071   66.5  0.0611   36.3  0.5135  177.5
 1.400  0.7549  167.2   4.005   66.1  0.0616   36.4  0.5141  177.0
 1.420  0.7554  166.8   3.949   65.7  0.0621   36.4  0.5145  176.5
 1.440  0.7559  166.3   3.892   65.3  0.0626   36.4  0.5150  176.0
 1.460  0.7565  165.9   3.836   64.9  0.0632   36.5  0.5155  175.5
 1.480  0.7571  165.4   3.781   64.4  0.0637   36.5  0.5161  175.0
 1.500  0.7578  165.0   3.725   64.0  0.0642   36.5  0.5167  174.5
 1.520  0.7580  164.6   3.675   63.6  0.0647   36.5  0.5171  174.0
 1.540  0.7581  164.2   3.625   63.2  0.0652   36.5  0.5176  173.5
 1.560  0.7584  163.9   3.576   62.8  0.0657   36.6  0.5182  173.1
 1.580  0.7586  163.5   3.526   62.4  0.0662   36.6  0.5187  172.6
 1.600  0.7589  163.1   3.477   62.0  0.0667   36.6  0.5193  172.1
 1.620  0.7594  162.7   3.434   61.6  0.0672   36.6  0.5198  171.6
 1.640  0.7600  162.3   3.391   61.3  0.0678   36.5  0.5204  171.2
 1.660  0.7606  161.9   3.348   60.9  0.0683   36.5  0.5209  170.7
 1.680  0.7612  161.5   3.305   60.5  0.0689   36.4  0.5216  170.3
 1.700  0.7619  161.1   3.262   60.1  0.0694   36.4  0.5222  169.8
 1.720  0.7621  160.7   3.222   59.7  0.0699   36.4  0.5226  169.4
 1.740  0.7624  160.3   3.183   59.3  0.0704   36.3  0.5229  168.9
 1.760  0.7626  160.0   3.144   58.9  0.0710   36.3  0.5234  168.5
 1.780  0.7630  159.6   3.105   58.5  0.0715   36.2  0.5238  168.0
 1.800  0.7633  159.2   3.066   58.1  0.0720   36.2  0.5243  167.6
 1.820  0.7637  158.8   3.031   57.7  0.0725   36.2  0.5249  167.2
 1.840  0.7641  158.5   2.996   57.4  0.0730   36.1  0.5256  166.8
 1.860  0.7646  158.1   2.962   57.0  0.0735   36.1  0.5263  166.3
 1.880  0.7651  157.8   2.927   56.6  0.0740   36.0  0.5270  165.9
 1.900  0.7656  157.4   2.893   56.2  0.0745   36.0  0.5277  165.5
 1.920  0.7658  157.0   2.862   55.9  0.0750   35.9  0.5281  165.1
 1.940  0.7660  156.7   2.832   55.5  0.0756   35.8  0.5285  164.7
 1.960  0.7662  156.3   2.801   55.1  0.0761   35.8  0.5289  164.2
 1.980  0.7665  156.0   2.771   54.8  0.0767   35.7  0.5294  163.8
 2.000  0.7668  155.6   2.741   54.4  0.0772   35.6  0.5299  163.4
!
!  f       NFmin   Gammaopt  rn/50
! GHz       dB    MAG  ANG    -
 0.450      1.10  0.33 -178   0.07
 0.900      1.17  0.39 -178   0.07
 1.900      1.31  0.49 -163   0.07
 2.400      1.45  0.52 -153   0.08
!
! (c) 2015  Infineon Technologies AG, Munich
